id	wave	date	polarization	time	interviewdistance	edate	treated	fortuyn	pvda	vvd	lpf	cda	age	female	rural	sclass	polkno	religion	dlr	postlr	lprelr	lpf_id_broad	vvd_id_broad	cu_id_broad	cda_id_broad	d66_id_broad	pvda_id_broad	gl_id_broad	sp_id_broad	rightid	leftid	asylum	crime	euthanasia	inequality	sample
11.0	3.0	2003-01-25		255.0	51.0	2002-05-15	1.0	1.0	0.0	0.0	0.0	0.0	49.583332	1.0	1.0	3.0	6.0	0.0				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	7.0	1.0	2.0	
12.0	1.0	2002-05-03	3.0	-12.0	36.0	2002-05-15	0.0	0.0	0.0	0.0	0.0	0.0	36.333332	2.0	1.0	2.0	10.0	1.0				0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	4.0	4.0	3.0	2.0	1.0
12.0	2.0	2002-06-08	3.0	24.0	36.0	2002-05-15	1.0	1.0	0.0	0.0	0.0	0.0	36.416668	2.0	1.0	2.0	10.0	1.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	4.0	4.0	3.0	2.0	1.0
12.0	3.0	2003-02-04		265.0	36.0	2002-05-15	1.0	1.0	0.0	0.0	0.0	0.0	37.083332	2.0	1.0	2.0	10.0	1.0				0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	4.0	4.0	3.0	2.0	
13.0	1.0	2002-04-18	2.0	-27.0	31.0	2002-05-15	0.0	0.0	0.0	0.0	0.0	0.0	60.916668	2.0	1.0	2.0	7.0	0.0				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	5.0	2.0	2.0	1.0
13.0	2.0	2002-05-19	2.0	4.0	31.0	2002-05-15	1.0	1.0	0.0	0.0	0.0	0.0	61.0	2.0	1.0	2.0	7.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	5.0	2.0	2.0	1.0
13.0	3.0	2003-01-25		255.0	31.0	2002-05-15	1.0	1.0	0.0	0.0	0.0	0.0	61.666668	2.0	1.0	2.0	7.0	0.0				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	5.0	2.0	2.0	
14.0	1.0	2002-04-21	2.0	-24.0	32.0	2002-05-15	0.0	0.0	0.0	0.0	0.0	0.0	32.166668	2.0	1.0	2.990709	9.0	0.0				0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	5.0	6.0	2.0	3.0	1.0
14.0	2.0	2002-05-23	1.0	8.0	32.0	2002-05-15	1.0	1.0	0.0	0.0	0.0	0.0	32.25	2.0	1.0	2.990709	9.0	0.0	1.0	5.0	4.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	5.0	6.0	2.0	3.0	1.0
14.0	3.0	2003-01-29		259.0	32.0	2002-05-15	1.0	1.0	0.0	0.0	0.0	0.0	32.916668	2.0	1.0	2.990709	9.0	0.0				0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	5.0	6.0	2.0	3.0	
15.0	1.0	2002-04-23	3.0	-22.0	47.0	2002-05-15	0.0	0.0	1.0	0.0	0.0	0.0	33.666668	1.0	1.0	2.0	11.0	0.0				0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	4.0	2.0	3.0	1.0
15.0	2.0	2002-06-09	5.0	25.0	47.0	2002-05-15	1.0	1.0	1.0	0.0	0.0	0.0	33.833332	1.0	1.0	2.0	11.0	0.0	-2.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	4.0	2.0	3.0	1.0
